date,value,sector
1991,14.853,Total energy consumption
1992,14.553,Total energy consumption
1993,14.457,Total energy consumption
1994,14.276,Total energy consumption
1995,14.564,Total energy consumption
1996,14.778,Total energy consumption
1997,14.575,Total energy consumption
1998,14.509,Total energy consumption
1999,14.205,Total energy consumption
2000,14.185,Total energy consumption
2001,14.449,Total energy consumption
2002,14.202,Total energy consumption
2003,14.185,Total energy consumption
2004,14.192,Total energy consumption
2005,13.976,Total energy consumption
2006,14.208,Total energy consumption
2007,13.579,Total energy consumption
2008,13.85,Total energy consumption
2009,13.017,Total energy consumption
2010,13.695,Total energy consumption
2011,13.0,Total energy consumption
2012,13.096,Total energy consumption
2013,13.294,Total energy consumption
2014,12.792,Total energy consumption
2015,12.836,Total energy consumption
2016,12.931,Total energy consumption
2017,13.252,Total energy consumption
2018,12.839,Total energy consumption
2019,12.325,Total energy consumption
2020,11.129,Total energy consumption
2021,11.834,Total energy consumption
2022,11.093,Total energy consumption
1991,2833.6,GDP at purchasing power parities
1992,2878.9,GDP at purchasing power parities
1993,2850.3,GDP at purchasing power parities
1994,2926.1,GDP at purchasing power parities
1995,2972.4,GDP at purchasing power parities
1996,3003.9,GDP at purchasing power parities
1997,3062.1,GDP at purchasing power parities
1998,3119.7,GDP at purchasing power parities
1999,3181.8,GDP at purchasing power parities
2000,3280.7,GDP at purchasing power parities
2001,3338.2,GDP at purchasing power parities
2002,3331.9,GDP at purchasing power parities
2003,3313.7,GDP at purchasing power parities
2004,3337.0,GDP at purchasing power parities
2005,3372.1,GDP at purchasing power parities
2006,3508.4,GDP at purchasing power parities
2007,3613.3,GDP at purchasing power parities
2008,3636.6,GDP at purchasing power parities
2009,3436.7,GDP at purchasing power parities
2010,3574.5,GDP at purchasing power parities
2011,3711.6,GDP at purchasing power parities
2012,3735.8,GDP at purchasing power parities
2013,3754.8,GDP at purchasing power parities
2014,3836.1,GDP at purchasing power parities
2015,3890.0,GDP at purchasing power parities
2016,3976.1,GDP at purchasing power parities
2017,4095.6,GDP at purchasing power parities
2018,4142.0,GDP at purchasing power parities
2019,4184.6,GDP at purchasing power parities
2020,3998.0,GDP at purchasing power parities
2021,4142.9,GDP at purchasing power parities
2022,4202.8,GDP at purchasing power parities
2023,4200.2,GDP at purchasing power parities
1991,79891.0,Population
1992,80287.0,Population
1993,80810.0,Population
1994,81085.0,Population
1995,81238.0,Population
1996,81414.0,Population
1997,81508.0,Population
1998,81476.0,Population
1999,81417.0,Population
2000,81447.0,Population
2001,81488.0,Population
2002,81562.0,Population
2003,81568.0,Population
2004,81494.0,Population
2005,81383.0,Population
2006,81240.0,Population
2007,81058.0,Population
2008,80857.0,Population
2009,80586.0,Population
2010,80320.0,Population
2011,80288.0,Population
2012,80450.0,Population
2013,80676.0,Population
2014,81036.0,Population
2015,81809.0,Population
2016,82392.0,Population
2017,82691.0,Population
2018,82934.0,Population
2019,83111.0,Population
2020,83159.0,Population
2021,83206.0,Population
2022,83938.0,Population
2023,84532.0,Population
1991,993.0,CO2 emissions
1992,953.0,CO2 emissions
1993,937.0,CO2 emissions
1994,911.0,CO2 emissions
1995,922.0,CO2 emissions
1996,937.0,CO2 emissions
1997,907.0,CO2 emissions
1998,900.0,CO2 emissions
1999,867.0,CO2 emissions
2000,872.0,CO2 emissions
2001,888.0,CO2 emissions
2002,873.0,CO2 emissions
2003,874.0,CO2 emissions
2004,866.0,CO2 emissions
2005,844.0,CO2 emissions
2006,859.0,CO2 emissions
2007,832.0,CO2 emissions
2008,837.0,CO2 emissions
2009,782.0,CO2 emissions
2010,822.0,CO2 emissions
2011,793.0,CO2 emissions
2012,807.0,CO2 emissions
2013,822.0,CO2 emissions
2014,784.0,CO2 emissions
2015,788.0,CO2 emissions
2016,789.0,CO2 emissions
2017,805.0,CO2 emissions
2018,782.0,CO2 emissions
2019,721.0,CO2 emissions
2020,631.0,CO2 emissions
2021,675.0,CO2 emissions
2022,668.0,CO2 emissions
